,year,org_id,loan_amt,entity_structure,total_proj_cost,food_desert,food_desert_2,hffi_year,proj_desc,bus_type,activity,activity_other,latitude,longitude,street,address_2,city,state,zipcode,zipcode_4,fips,address,location,point,lat,long,alt
327,2017,154,295000.0,NONPROFIT,1200000.0,ERS,,2014.0,Financing for a retail grocery store offering healthy food options in a Food Desert.,RETAIL,GROCERYSTORE,,,,25831 Euclid Avenue,,Euclid,OH,44132.0,,,"25831 Euclid Avenue,Euclid,OH,44132","25831, Euclid Avenue, Euclid, Cuyahoga County, Ohio, 44132, United States of America","(41.58673131496063, -81.503868503937, 0.0)",41.58673131496063,-81.503868503937,0.0
330,2012,457,0.0,NONPROFIT,0.0,ERS,,,CSA distribution to low-income housing projects,NONRETAIL,,,-72.58391,42.099509999999995,130 Union Street,,Springfield,MA,1105.0,,25013801102.0,"130 Union Street,Springfield,MA,1105","130, Union Street, South End, Springfield, Hampden County, Massachusetts, 01105, United States of America","(42.09941234693877, -72.58409624489796, 0.0)",42.09941234693877,-72.58409624489796,0.0
335,2012,3416,25000.0,FORPROFIT,25000.0,ERS,,,Local Market,RETAIL,,,-84.28978000000001,33.86658,2714 Shallowford Road NE,,Atlanta,GA,30314.0,,13089021404.0,"2714 Shallowford Road NE,Atlanta,GA,30314","Shallowford Road Northeast, Plymouth Colony, Habersham, North Druid Hills, DeKalb County, Georgia, 30340, United States of America","(33.8551438, -84.2815434, 0.0)",33.8551438,-84.2815434,0.0
337,2012,823,1700000.0,,8482000.0,ERS,,,"Multi-tenant retail center with 17,678 sf SAL grocery and 23,032 sf Blast Fitness.",RETAIL,,,-90.22072,38.616640000000004,1549 S Jefferson Ave,,St. Louis,MO,63104.0,,29510123100.0,"1549 S Jefferson Ave,St. Louis,MO,63104","1549, South Jefferson Avenue, Lafayette Square, St. Louis, City of Saint Louis, Missouri, 63104, United States of America","(38.61724986033476, -90.22067150438076, 0.0)",38.61724986033476,-90.22067150438076,0.0
338,2012,823,700000.0,,5600000.0,ERS,,,"Project includes a grocery Store, aggregation & distribution Center, and Processing Center.",RETAIL,,,-90.20834,38.61325,1500 Lafayette Ave,,St. Louis,MO,63104.0,,29510123200.0,"1500 Lafayette Ave,St. Louis,MO,63104","1500, Lafayette Avenue, Peabody-Darst-Webbe, St. Louis, City of Saint Louis, Missouri, 63104, United States of America","(38.613200327621, -90.20853820658395, 0.0)",38.613200327621,-90.20853820658395,0.0
339,2012,1664,0.0,,0.0,TRF,Not Applicable,,Restaurant,RETAIL,,,-90.04301,29.96208,617 PIETY ST,,NEW ORLEANS,LA,70117.0,,22071001200.0,"617 PIETY ST,NEW ORLEANS,LA,70117","Pizza Delicious, 617, Piety Street, French Market, Bywater, New Orleans, Orleans Parish, Louisiana, 70117, United States of America","(29.9624264, -90.0428774, 0.0)",29.9624264,-90.0428774,0.0
340,2012,1664,69740.53,,69740.53,TRF,Not Applicable,,Restaurant,RETAIL,,,-90.04301,29.96208,617 PIETY ST,,NEW ORLEANS,LA,70117.0,,22071001200.0,"617 PIETY ST,NEW ORLEANS,LA,70117","Pizza Delicious, 617, Piety Street, French Market, Bywater, New Orleans, Orleans Parish, Louisiana, 70117, United States of America","(29.9624264, -90.0428774, 0.0)",29.9624264,-90.0428774,0.0
341,2012,1664,0.0,,0.0,TRF,Not Applicable,,Restaurant,RETAIL,,,-90.04301,29.96208,617 PIETY ST,,NEW ORLEANS,LA,70117.0,,22071001200.0,"617 PIETY ST,NEW ORLEANS,LA,70117","Pizza Delicious, 617, Piety Street, French Market, Bywater, New Orleans, Orleans Parish, Louisiana, 70117, United States of America","(29.9624264, -90.0428774, 0.0)",29.9624264,-90.0428774,0.0
342,2012,1664,500000.0,,500000.0,TRF,Not Applicable,,Grocery,RETAIL,,,-90.05266,29.968759999999996,2372 ST CLAUDE AVE,SUITE 110,NEW ORLEANS,LA,70117.0,,22071001800.0,"2372 ST CLAUDE AVE,NEW ORLEANS,LA,70117","New Orleans Healing Center, 2372, Saint Claude Avenue, French Market, Faubourg Marigny, New Orleans, Orleans Parish, Louisiana, 70117, United States of America","(29.9686492, -90.0524517, 0.0)",29.9686492,-90.0524517,0.0
343,2012,1664,0.0,,0.0,TRF,Not Applicable,,Grocery,RETAIL,,,-90.07333,29.953809999999997,1010 COMMON ST,STE 2500,NEW ORLEANS,LA,70112.0,,22071005800.0,"1010 COMMON ST,NEW ORLEANS,LA,70112","1010 Common, 1010, Common Street, Vieux Carre Historic District, Storyville, New Orleans, Orleans Parish, Louisiana, 70130, United States of America","(29.953674, -90.07369935, 0.0)",29.953674,-90.07369935,0.0
346,2012,318,1429990.0,NONPROFIT,6070010.0,ERS,,,Nonprofit grocery store,NONRETAIL,,,-75.39787,39.83429,3101 West 9th Street,,Chester,PA,19013.0,,42045405400.0,"3101 West 9th Street,Chester,PA,19013","Safinco, 3101, West 9th Street, Trainer, Delaware County, Pennsylvania, 19013, United States of America","(39.8341713, -75.3979497, 0.0)",39.8341713,-75.3979497,0.0
347,2012,318,1050000.0,NONPROFIT,6450000.0,ERS,,,Nonprofit grocery store,NONRETAIL,,,-75.39787,39.83429,3101 West 9th Street,,Chester,PA,19013.0,,42045405400.0,"3101 West 9th Street,Chester,PA,19013","Safinco, 3101, West 9th Street, Trainer, Delaware County, Pennsylvania, 19013, United States of America","(39.8341713, -75.3979497, 0.0)",39.8341713,-75.3979497,0.0
354,2013,457,10473.0,FORPROFIT,10473.0,ERS,,,vegetqable farm in USDA food desert area,NONRETAIL,,,-72.52998000000001,42.40704,1089 North Pleasant Street,,Amherst,MA,1002.0,,25015820300.0,"1089 North Pleasant Street,Amherst,MA,1002","1089, North Pleasant Street, Pioneer Valley Cohousing, North Amherst, Amherst, Hampshire County, Massachusetts, 01002, United States of America","(42.407006274236174, -72.5298937217867, 0.0)",42.407006274236174,-72.5298937217867,0.0
